date,campaign_id,channel,campaign_type,region,device,impressions,clicks,conversions,cost,revenue,ctr,conversion_rate,roi
2024-09-20,100058,Affiliate,Brand,West,Mobile,30306,1392,51,22537.82,29188.32,0.0459,0.0366,0.2951
2024-02-04,100059,Facebook Ads,Remarketing,South,Mobile,39952,759,83,14585.19,58227.58,0.019,0.1094,2.9922
2024-07-24,100060,Instagram Ads,Performance,West,Mobile,27589,789,54,8227.69,23543.67,0.0286,0.0684,1.8615
2024-03-21,100061,Instagram Ads,Performance,West,Desktop,17431,779,65,21256.55,31873.97,0.0447,0.0834,0.4995
2024-02-19,100062,Facebook Ads,Remarketing,North,Mobile,46265,819,42,30854.99,19901.65,0.0177,0.0513,-0.355
2024-12-25,100063,Google Search,Performance,South,Mobile,28196,1396,111,65795.57,26299.41,0.0495,0.0795,-0.6003
2024-01-02,100064,Facebook Ads,Remarketing,East,Desktop,30629,640,70,21074.84,37651.83,0.0209,0.1094,0.7866
2024-02-23,100065,Facebook Ads,Performance,West,Mobile,37738,414,27,13182.67,11116.44,0.011,0.0652,-0.1567
2024-04-15,100066,Instagram Ads,Brand,East,Mobile,26557,765,12,23753.0,2910.21,0.0288,0.0157,-0.8775
2024-09-16,100067,Google Search,Performance,North,Desktop,26329,1064,93,23091.76,20863.5,0.0404,0.0874,-0.0965
2024-11-05,100068,Display,Remarketing,East,Desktop,42676,295,22,4266.78,5968.54,0.0069,0.0746,0.3988
2024-07-09,100069,Email,Remarketing,West,Mobile,12272,681,67,3038.23,29656.48,0.0555,0.0984,8.7611
2024-08-05,100070,Google Search,Brand,West,Mobile,27195,1857,27,134797.43,9322.52,0.0683,0.0145,-0.9308
2024-02-13,100071,YouTube Ads,Performance,West,Desktop,33659,927,90,23107.38,40202.78,0.0275,0.0971,0.7398
2024-06-10,100072,YouTube Ads,Performance,South,Mobile,25771,735,32,13075.3,5610.78,0.0285,0.0435,-0.5709
2024-07-20,100073,Affiliate,Performance,East,Desktop,20433,928,80,5776.9,19380.49,0.0454,0.0862,2.3548
2024-09-26,100074,Google Search,Brand,South,Desktop,32823,1185,21,82200.83,11629.2,0.0361,0.0177,-0.8585
2024-12-16,100075,Facebook Ads,Brand,West,Mobile,29317,489,8,6868.62,5205.27,0.0167,0.0164,-0.2422
2024-10-30,100076,Affiliate,Remarketing,West,Mobile,20839,401,36,6443.43,20353.09,0.0192,0.0898,2.1587
2024-09-27,100077,Affiliate,Performance,North,Mobile,20024,548,48,6225.48,21562.05,0.0274,0.0876,2.4635
2024-08-02,100078,Email,Remarketing,North,Mobile,15022,393,46,403.4,12936.63,0.0262,0.117,31.069
2024-09-08,100079,Email,Remarketing,West,Mobile,7604,400,54,1097.25,31764.53,0.0526,0.135,27.9492
2024-07-08,100080,Google Search,Performance,South,Desktop,20115,1324,44,89767.0,14254.21,0.0658,0.0332,-0.8412
2024-10-22,100081,Instagram Ads,Remarketing,South,Mobile,48679,840,122,8702.21,74149.96,0.0173,0.1452,7.5208
2024-07-31,100082,Facebook Ads,Performance,West,Mobile,36432,1043,36,10499.21,9759.05,0.0286,0.0345,-0.0705
2024-07-26,100083,Google Search,Remarketing,East,Desktop,32085,999,121,47118.56,62098.5,0.0311,0.1211,0.3179
2024-08-24,100084,Display,Performance,South,Mobile,40404,465,20,1403.35,5025.76,0.0115,0.043,2.5813
2024-12-03,100085,Google Search,Performance,West,Mobile,26010,1151,102,87573.09,35215.26,0.0443,0.0886,-0.5979
2024-02-22,100086,Instagram Ads,Performance,North,Mobile,29794,1339,120,40533.24,31259.32,0.0449,0.0896,-0.2288
2024-10-06,100087,Affiliate,Remarketing,West,Mobile,27590,1304,137,18845.09,54685.22,0.0473,0.1051,1.9018
2024-08-04,100088,Google Search,Remarketing,South,Desktop,22942,857,77,18030.49,29456.49,0.0374,0.0898,0.6337
2024-09-08,100089,Affiliate,Performance,West,Mobile,11377,535,45,7247.83,9561.42,0.047,0.0841,0.3192
2024-07-06,100090,Affiliate,Performance,East,Mobile,22074,654,59,9853.36,12340.93,0.0296,0.0902,0.2525
2024-02-10,100091,Instagram Ads,Performance,East,Mobile,24860,771,62,18396.87,32199.99,0.031,0.0804,0.7503
2024-06-05,100092,Google Search,Remarketing,South,Desktop,26022,1475,207,113299.87,85293.93,0.0567,0.1403,-0.2472
2024-01-15,100093,Facebook Ads,Remarketing,West,Desktop,18141,576,64,20125.62,33490.03,0.0318,0.1111,0.664
2024-10-27,100094,Instagram Ads,Performance,East,Mobile,28209,650,50,11607.37,17620.99,0.023,0.0769,0.5181
2024-03-05,100095,Facebook Ads,Brand,East,Desktop,32909,397,10,12245.05,2841.84,0.0121,0.0252,-0.7679
2024-12-10,100096,Facebook Ads,Performance,North,Mobile,41678,938,60,22356.66,8985.84,0.0225,0.064,-0.5981
2024-11-22,100097,Affiliate,Performance,South,Mobile,28490,970,73,18357.46,13056.66,0.034,0.0753,-0.2888
2024-01-09,100098,Google Search,Remarketing,North,Desktop,24569,1418,150,80950.19,99240.4,0.0577,0.1058,0.2259
2024-12-09,100099,Email,Performance,North,Mobile,18867,1125,91,3744.31,18240.16,0.0596,0.0809,3.8714
2024-05-08,100100,Google Search,Performance,East,Mobile,27435,883,84,44186.94,18427.77,0.0322,0.0951,-0.583
2024-05-15,100101,Instagram Ads,Remarketing,West,Mobile,30237,1348,117,24532.19,76297.36,0.0446,0.0868,2.1101
2024-03-03,100102,Affiliate,Brand,North,Mobile,22855,1135,25,8195.7,11968.86,0.0497,0.022,0.4604
2024-05-18,100103,Facebook Ads,Performance,South,Mobile,21365,277,8,5046.37,1310.62,0.013,0.0289,-0.7403
2024-03-21,100104,Google Search,Performance,South,Mobile,36645,1729,115,69073.65,42334.53,0.0472,0.0665,-0.3871
2024-06-11,100105,YouTube Ads,Performance,West,Mobile,34341,720,28,5817.85,9154.91,0.021,0.0389,0.5736
2024-10-15,100106,Email,Performance,South,Mobile,17572,679,54,2886.33,14855.48,0.0386,0.0795,4.1468
2024-09-17,100107,YouTube Ads,Remarketing,North,Mobile,37089,694,88,3500.79,38303.01,0.0187,0.1268,9.9412
2024-08-18,100108,Facebook Ads,Performance,West,Mobile,31738,627,50,23495.66,9459.95,0.0198,0.0797,-0.5974
2024-02-10,100109,Facebook Ads,Brand,South,Desktop,19182,601,15,8322.94,8613.21,0.0313,0.025,0.0349
2024-01-28,100110,Affiliate,Performance,South,Mobile,17563,487,32,2807.33,6557.25,0.0277,0.0657,1.3358
2024-05-14,100111,Affiliate,Brand,North,Desktop,10459,314,9,6257.33,2293.29,0.03,0.0287,-0.6335
2024-07-19,100112,Instagram Ads,Performance,North,Desktop,22251,689,47,24111.21,13507.48,0.031,0.0682,-0.4398
2024-11-23,100113,Display,Brand,North,Mobile,43656,852,27,4516.53,7107.46,0.0195,0.0317,0.5737
2024-09-24,100114,Instagram Ads,Remarketing,North,Mobile,31986,1061,147,12320.88,51760.03,0.0332,0.1385,3.201
2024-02-02,100115,Instagram Ads,Performance,West,Mobile,27585,419,28,5589.42,4693.92,0.0152,0.0668,-0.1602
2024-02-17,100116,Google Search,Brand,West,Mobile,26787,1230,16,62335.67,6536.27,0.0459,0.013,-0.8951
2024-03-02,100117,Instagram Ads,Performance,West,Mobile,16198,418,16,6968.88,3420.6,0.0258,0.0383,-0.5092
2024-08-03,100118,Instagram Ads,Performance,East,Mobile,29091,1059,59,18089.72,26506.28,0.0364,0.0557,0.4653
2024-10-19,100119,Google Search,Performance,North,Mobile,39427,2063,133,141468.57,27471.25,0.0523,0.0645,-0.8058
2024-04-08,100120,Instagram Ads,Performance,North,Desktop,31246,1054,48,33765.16,7828.31,0.0337,0.0455,-0.7682
2024-06-20,100121,Email,Remarketing,West,Desktop,10980,680,64,3317.94,22442.51,0.0619,0.0941,5.764
2024-12-25,100122,YouTube Ads,Performance,South,Mobile,50028,515,20,7876.81,7173.11,0.0103,0.0388,-0.0893
2024-08-01,100123,YouTube Ads,Performance,South,Mobile,53648,1332,62,13217.07,27262.04,0.0248,0.0465,1.0626
2024-02-04,100124,Affiliate,Remarketing,North,Mobile,22847,938,115,12497.7,58894.77,0.0411,0.1226,3.7124
2024-08-14,100125,Google Search,Performance,North,Mobile,28729,2039,201,147344.39,84422.19,0.071,0.0986,-0.427
2024-04-10,100126,Instagram Ads,Brand,West,Desktop,22496,979,15,8649.09,6916.9,0.0435,0.0153,-0.2003
2024-05-10,100127,Email,Brand,North,Desktop,13641,483,9,2243.52,2328.98,0.0354,0.0186,0.0381
2024-09-13,100128,Instagram Ads,Remarketing,South,Mobile,27519,719,61,10149.96,20624.78,0.0261,0.0848,1.032
2024-01-05,100129,Facebook Ads,Remarketing,South,Mobile,43551,778,56,15027.17,23512.57,0.0179,0.072,0.5647
2024-08-05,100130,Google Search,Brand,North,Mobile,19296,894,14,37407.84,7392.88,0.0463,0.0157,-0.8024
2024-09-11,100131,Display,Performance,West,Desktop,37271,370,14,5167.1,4172.52,0.0099,0.0378,-0.1925
2024-12-24,100132,Instagram Ads,Brand,West,Mobile,39254,1597,59,20364.81,35630.78,0.0407,0.0369,0.7496
2024-10-09,100133,Display,Performance,South,Mobile,49788,295,22,1674.46,4164.32,0.0059,0.0746,1.487
2024-07-25,100134,Instagram Ads,Brand,West,Desktop,23634,441,8,12233.24,3690.57,0.0187,0.0181,-0.6983
2024-01-15,100135,YouTube Ads,Brand,South,Desktop,36738,787,13,18646.99,5518.96,0.0214,0.0165,-0.704
2024-12-11,100136,Display,Remarketing,North,Desktop,62239,1025,111,4363.24,33263.3,0.0165,0.1083,6.6235
2024-02-11,100137,YouTube Ads,Performance,South,Mobile,37318,871,68,13452.57,11774.71,0.0233,0.0781,-0.1247
2024-06-27,100138,Facebook Ads,Brand,North,Mobile,24175,275,4,10294.3,1318.86,0.0114,0.0145,-0.8719
2024-03-03,100139,Instagram Ads,Remarketing,West,Mobile,34504,930,78,29689.71,49471.83,0.027,0.0839,0.6663
2024-12-17,100140,Display,Remarketing,East,Desktop,43347,336,26,4832.18,14849.23,0.0078,0.0774,2.073
2024-08-18,100141,Facebook Ads,Performance,East,Desktop,20244,802,28,29724.64,9141.66,0.0396,0.0349,-0.6925
2024-08-28,100142,Facebook Ads,Remarketing,East,Desktop,37346,1492,132,29006.11,86350.89,0.04,0.0885,1.977
2024-02-21,100143,Google Search,Performance,South,Mobile,22514,732,49,23775.85,11446.55,0.0325,0.0669,-0.5186
2024-04-05,100144,Affiliate,Brand,East,Desktop,17957,689,20,12761.74,6354.7,0.0384,0.029,-0.5021
2024-08-09,100145,Google Search,Brand,South,Mobile,41626,2941,66,184451.51,25081.23,0.0707,0.0224,-0.864
2024-08-18,100146,YouTube Ads,Performance,West,Mobile,37653,570,56,7165.15,20422.65,0.0151,0.0982,1.8503
2024-08-24,100147,Facebook Ads,Brand,North,Mobile,30505,939,27,29473.39,9325.25,0.0308,0.0288,-0.6836
2024-05-22,100148,Facebook Ads,Performance,East,Mobile,36848,575,52,11049.05,18398.08,0.0156,0.0904,0.6651
2024-06-19,100149,YouTube Ads,Brand,South,Mobile,27611,298,11,4954.81,2669.1,0.0108,0.0369,-0.4613
2024-01-29,100150,Google Search,Performance,West,Desktop,28489,2172,190,73848.04,26613.08,0.0762,0.0875,-0.6396
2024-02-05,100151,Instagram Ads,Brand,West,Desktop,34468,1144,20,26503.08,10401.75,0.0332,0.0175,-0.6075
2024-01-13,100152,Email,Performance,East,Mobile,19974,1215,73,5701.56,24044.14,0.0608,0.0601,3.2171
2024-06-08,100153,Display,Performance,West,Mobile,36692,476,14,5834.46,3523.5,0.013,0.0294,-0.3961
2024-11-22,100154,Google Search,Performance,West,Mobile,21711,819,50,48619.05,12562.24,0.0377,0.0611,-0.7416
2024-07-05,100155,Display,Performance,West,Mobile,34935,372,18,2214.2,6170.59,0.0106,0.0484,1.7868
2024-08-30,100156,YouTube Ads,Remarketing,South,Mobile,26549,727,44,4556.37,29581.14,0.0274,0.0605,5.4923
2024-03-26,100157,Display,Performance,West,Desktop,45762,239,21,2754.91,8625.51,0.0052,0.0879,2.131
2024-10-10,100158,Instagram Ads,Performance,West,Mobile,42622,802,61,18890.82,26750.36,0.0188,0.0761,0.4161
2024-03-06,100159,Instagram Ads,Performance,West,Desktop,29573,602,60,8271.67,12407.17,0.0204,0.0997,0.5
2024-06-18,100160,Affiliate,Performance,West,Desktop,18828,455,29,8654.74,6124.56,0.0242,0.0637,-0.2923
2024-02-14,100161,Display,Brand,West,Mobile,34933,226,4,2175.08,1456.12,0.0065,0.0177,-0.3305
2024-03-02,100162,Instagram Ads,Brand,South,Mobile,27814,1112,19,26065.49,5675.54,0.04,0.0171,-0.7823
2024-05-13,100163,Facebook Ads,Performance,West,Desktop,37258,550,33,10429.55,17145.73,0.0148,0.06,0.644
2024-10-10,100164,Facebook Ads,Performance,West,Mobile,33196,1158,59,42129.83,12714.11,0.0349,0.0509,-0.6982
2024-01-28,100165,Facebook Ads,Brand,North,Desktop,46438,959,38,35235.32,9817.81,0.0207,0.0396,-0.7214
2024-04-17,100166,Facebook Ads,Performance,West,Desktop,31297,742,31,23339.17,9938.1,0.0237,0.0418,-0.5742
2024-02-13,100167,Facebook Ads,Brand,West,Mobile,39311,938,9,12173.59,4559.23,0.0239,0.0096,-0.6255
2024-12-05,100168,Display,Remarketing,South,Desktop,24622,386,24,1548.87,9628.25,0.0157,0.0622,5.2163
2024-10-12,100169,Google Search,Brand,West,Mobile,25670,1708,62,82262.07,14258.21,0.0665,0.0363,-0.8267
2024-11-26,100170,YouTube Ads,Brand,South,Desktop,58995,1303,40,10218.36,21099.03,0.0221,0.0307,1.0648
2024-05-07,100171,Google Search,Performance,East,Mobile,27016,1855,157,74042.67,68077.2,0.0687,0.0846,-0.0806
2024-12-13,100172,Facebook Ads,Performance,West,Desktop,36255,371,19,5617.05,8844.13,0.0102,0.0512,0.5745
2024-08-18,100173,Google Search,Performance,North,Mobile,31622,1746,128,67407.68,57072.92,0.0552,0.0733,-0.1533
2024-07-08,100174,Facebook Ads,Performance,South,Desktop,41311,1062,84,40661.2,40737.13,0.0257,0.0791,0.0019
2024-08-12,100175,Email,Performance,East,Mobile,10666,340,17,1364.58,6377.5,0.0319,0.05,3.6736
2024-10-09,100176,Display,Remarketing,North,Mobile,52508,700,85,3261.77,55824.42,0.0133,0.1214,16.1148
2024-04-30,100177,Facebook Ads,Brand,South,Mobile,26682,640,18,19243.18,4376.31,0.024,0.0281,-0.7726
2024-04-25,100178,Instagram Ads,Performance,East,Desktop,33983,937,47,8267.79,8204.31,0.0276,0.0502,-0.0077
2024-08-20,100179,Instagram Ads,Remarketing,North,Mobile,24821,394,21,13615.8,6077.82,0.0159,0.0533,-0.5536
2024-09-15,100180,Display,Brand,West,Mobile,39632,456,7,4277.44,3116.99,0.0115,0.0154,-0.2713
2024-12-24,100181,Email,Performance,North,Desktop,20790,1212,88,3662.24,22028.58,0.0583,0.0726,5.0151
2024-07-16,100182,Instagram Ads,Brand,North,Desktop,20811,531,14,7693.68,3249.93,0.0255,0.0264,-0.5776
2024-05-16,100183,YouTube Ads,Brand,North,Mobile,35248,660,16,9343.4,3662.14,0.0187,0.0242,-0.6081
2024-11-13,100184,Display,Performance,South,Desktop,40015,780,37,7265.61,6522.96,0.0195,0.0474,-0.1022
2024-06-13,100185,Google Search,Brand,West,Mobile,13357,982,22,58421.02,9290.34,0.0735,0.0224,-0.841
2024-08-12,100186,Facebook Ads,Brand,West,Desktop,33402,1264,18,14380.98,4528.57,0.0378,0.0142,-0.6851
2024-11-02,100187,Affiliate,Performance,South,Desktop,32835,581,44,5887.06,18326.52,0.0177,0.0757,2.113
2024-08-21,100188,Email,Brand,North,Mobile,10277,523,18,1332.6,9694.89,0.0509,0.0344,6.2752
2024-06-20,100189,Instagram Ads,Remarketing,West,Mobile,29346,568,54,6831.37,25303.88,0.0194,0.0951,2.7041
2024-05-31,100190,Instagram Ads,Remarketing,North,Mobile,30401,770,54,11145.15,25533.25,0.0253,0.0701,1.291
2024-11-10,100191,Facebook Ads,Performance,West,Mobile,29796,905,79,15475.66,20445.44,0.0304,0.0873,0.3211
2024-06-08,100192,Instagram Ads,Remarketing,South,Desktop,38057,1183,96,35348.21,52228.42,0.0311,0.0811,0.4775
2024-04-05,100193,YouTube Ads,Performance,East,Mobile,51505,985,70,18463.28,34919.66,0.0191,0.0711,0.8913
2024-08-20,100194,Facebook Ads,Performance,North,Desktop,39289,1352,47,50946.69,9870.9,0.0344,0.0348,-0.8063
2024-06-28,100195,Email,Brand,West,Mobile,13635,738,23,1652.81,14259.02,0.0541,0.0312,7.6271
2024-04-22,100196,Display,Remarketing,West,Desktop,21766,376,36,5106.06,13482.02,0.0173,0.0957,1.6404
2024-11-13,100197,Google Search,Remarketing,West,Desktop,31284,2396,221,172100.14,81155.25,0.0766,0.0922,-0.5284
2024-02-21,100198,Instagram Ads,Brand,South,Desktop,27123,962,36,19331.28,22087.01,0.0355,0.0374,0.1426
2024-09-24,100199,Facebook Ads,Performance,South,Mobile,37663,823,53,23777.99,18180.87,0.0219,0.0644,-0.2354
2024-10-21,100200,YouTube Ads,Performance,East,Mobile,40903,518,16,8784.8,2512.46,0.0127,0.0309,-0.714
2024-04-22,100201,Facebook Ads,Performance,South,Mobile,40007,725,70,13945.26,30031.36,0.0181,0.0966,1.1535
2024-04-10,100202,YouTube Ads,Performance,North,Mobile,33788,565,17,5786.41,6686.34,0.0167,0.0301,0.1555
2024-04-22,100203,Display,Brand,South,Mobile,41175,662,17,3328.21,8281.56,0.0161,0.0257,1.4883
2024-03-21,100204,Facebook Ads,Brand,West,Desktop,24398,273,7,9590.48,1698.67,0.0112,0.0256,-0.8229
2024-07-05,100205,Affiliate,Brand,North,Mobile,17828,775,28,10077.28,13846.33,0.0435,0.0361,0.374
2024-04-22,100206,Affiliate,Performance,South,Mobile,13336,553,42,5571.74,19135.58,0.0415,0.0759,2.4344
2024-01-02,100207,Google Search,Performance,North,Mobile,25454,1399,121,70788.77,60339.55,0.055,0.0865,-0.1476
2024-05-09,100208,Facebook Ads,Remarketing,North,Mobile,22442,493,62,6121.93,25129.75,0.022,0.1258,3.1049
2024-08-07,100209,Affiliate,Performance,South,Mobile,22774,431,19,2840.18,6803.51,0.0189,0.0441,1.3955
2024-02-23,100210,Affiliate,Performance,North,Desktop,23482,590,46,9670.27,19006.94,0.0251,0.078,0.9655
2024-12-08,100211,Google Search,Brand,West,Mobile,29913,1061,30,78593.2,7637.46,0.0355,0.0283,-0.9028
2024-08-11,100212,Google Search,Remarketing,West,Desktop,20915,1483,110,58157.49,37530.22,0.0709,0.0742,-0.3547
2024-08-12,100213,Google Search,Performance,South,Mobile,27531,1527,59,68028.46,15551.54,0.0555,0.0386,-0.7714
2024-05-05,100214,Affiliate,Performance,South,Desktop,24752,585,48,6204.44,23566.98,0.0236,0.0821,2.7984
2024-05-09,100215,Google Search,Brand,West,Mobile,23938,739,28,36020.76,5878.68,0.0309,0.0379,-0.8368
2024-02-22,100216,Instagram Ads,Performance,South,Desktop,24993,732,59,14037.94,28425.83,0.0293,0.0806,1.0249
2024-06-20,100217,Display,Performance,West,Mobile,21575,351,28,2679.83,8133.3,0.0163,0.0798,2.035
2024-08-05,100218,Google Search,Brand,North,Mobile,26361,1801,27,107333.86,11249.58,0.0683,0.015,-0.8952
2024-06-08,100219,YouTube Ads,Remarketing,South,Mobile,45539,579,43,6046.06,17434.86,0.0127,0.0743,1.8837
2024-07-16,100220,Facebook Ads,Performance,East,Desktop,36651,1460,103,55887.37,46830.88,0.0398,0.0705,-0.162
2024-09-03,100221,Display,Performance,West,Desktop,37076,501,16,3357.56,7964.3,0.0135,0.0319,1.372
2024-11-19,100222,Facebook Ads,Remarketing,West,Mobile,23389,466,54,7659.83,25980.42,0.0199,0.1159,2.3918
2024-07-21,100223,YouTube Ads,Performance,North,Mobile,31769,528,21,12903.33,4529.12,0.0166,0.0398,-0.649
2024-07-02,100224,YouTube Ads,Brand,East,Mobile,46534,499,11,4778.48,3134.09,0.0107,0.022,-0.3441
2024-05-02,100225,Facebook Ads,Remarketing,East,Mobile,36165,896,73,23385.87,28682.14,0.0248,0.0815,0.2265
2024-09-11,100226,Google Search,Performance,East,Mobile,18539,1254,46,49827.85,9519.1,0.0676,0.0367,-0.809
2024-10-20,100227,Facebook Ads,Remarketing,West,Mobile,53788,1198,129,14764.45,34250.72,0.0223,0.1077,1.3198
2024-10-06,100228,Facebook Ads,Remarketing,West,Desktop,26258,945,81,36465.07,52797.86,0.036,0.0857,0.4479
2024-11-20,100229,Display,Brand,East,Desktop,37911,460,5,3445.93,2142.52,0.0121,0.0109,-0.3782
2024-04-07,100230,Display,Performance,South,Mobile,39401,729,44,7827.88,14064.52,0.0185,0.0604,0.7967
